SN,Latitude,Longitude,Altitude,Heading,Speed
428,24.9152048,121.1423872,159,113.58,30.46
429,24.9153024,121.1421568,159,115.04,30.81
430,24.9154048,121.1419264,159,116.11,31.08
431,24.9155008,121.141696,158,114.68,30.72
432,24.9155984,121.1414528,158,113.87,32.22
433,24.9156976,121.1412096,158,114.22,32.31
434,24.9158079,121.1409792,158,117.83,31.56
435,24.915912,121.1407616,158,117.81,29.81
436,24.9160384,121.1405312,158,121.17,32.62
437,24.9162,121.1402624,157,123.54,39.07
438,24.9164032,121.1399168,158,122.96,49.9
439,24.9165376,121.1396608,158,120.07,53.75
440,24.9167248,121.1393152,157,120.85,48.77
441,24.9168832,121.1389952,156,118.63,44.17
442,24.917048,121.1386368,155,116.89,48.68
443,24.9173648,121.1376896,155,110.24,52.42
444,24.9176832,121.1368064,155,111.68,57.57
445,24.917792,121.1364736,155,109.82,64.29
446,24.9178976,121.136192,155,112.46,55.38
447,24.9180351,121.1357952,154,110.91,51.46
448,24.9181744,121.1354112,154,111.8,50.1
449,24.9183087,121.1350016,154,109.88,52.77
450,24.9184384,121.1345792,154,108.7,54.03
451,24.9185712,121.1341824,154,110.26,51.24
452,24.9187024,121.1337728,153,109.45,52.63
453,24.918792,121.1334912,151,109.33,54.23
454,24.9189408,121.1330688,149,111.23,54.9
455,24.9190576,121.1327104,147,109.77,69.21
456,24.9191856,121.1323264,145,110.18,74.35
457,24.9193232,121.1319296,145,110.93,77.2
458,24.9194672,121.1315072,144,110.6,82
459,24.9196208,121.1310592,144,110.71,87.03
460,24.9197792,121.1306112,144,111.3,87.38
461,24.919952,121.1301248,145,111.39,94.93
462,24.92012,121.1296384,146,110.85,94.58
463,24.9202863,121.129152,146,110.66,94.46
464,24.9204528,121.1286656,146,110.68,94.47
465,24.9206271,121.1281792,144,111.56,95.04
466,24.9208032,121.1276672,144,110.77,99.51
467,24.9209504,121.1271552,145,107.59,97.6
468,24.9211152,121.1266688,145,110.49,94.35
469,24.9212896,121.1261696,144,111.07,97.21
470,24.9214416,121.1256832,144,109.01,93.49
471,24.9215664,121.125184,144,105.41,94.1
472,24.9216735,121.1246592,144,102.68,97.75
473,24.9217696,121.1241344,145,101.42,97.29
